user_id,edad,sexo,estado,ciudad,nivel_educativo,ocupacion,ingreso_mensual_mxn,antiguedad_dias,es_hey_pro,nomina_domiciliada,canal_apertura,score_buro,dias_desde_ultimo_login,preferencia_canal,satisfaccion_1_10,recibe_remesas,usa_hey_shop,idioma_preferido,tiene_seguro,num_productos_activos,patron_uso_atipico,total_productos,tipos_producto,productos_activos,limite_credito_total,saldo_total,utilizacion_promedio,total_transacciones,monto_total_txn,monto_promedio_txn,cashback_total,txn_internacionales,categorias_unicas,canales_usados,tipo_producto_principal,categoria_mcc_principal,canal_principal_real,tipo_operacion_principal
USR-00013,52,H,Nuevo León,Monterrey,Posgrado,Empleado,26000,953,False,True,App,612,5,app_ios,10.0,False,False,es_MX,True,2,True,2,"credito_nomina, cuenta_debito",2,38000.0,24179.050000000003,0.2777,45,240195.04,5337.667555555556,0.0,2,9,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,supermercado,app_ios,compra
USR-00014,26,M,Jalisco,Tonalá,Preparatoria,Empleado,39000,1698,False,True,Fan Shop,575,9,app_ios,6.0,False,False,es_MX,True,3,False,3,"credito_nomina, cuenta_debito, tarjeta_credito_hey",3,189000.0,69258.37,0.25105,46,317771.08,6908.0669565217395,0.0,1,10,"app_android, app_huawei, app_ios, codi, oxxo, pos_fisico",cuenta_debito,supermercado,app_ios,compra
USR-00015,54,H,Jalisco,Puerto Vallarta,Licenciatura,Empleado,19500,373,False,True,App,484,5,app_ios,9.0,False,True,es_MX,True,3,False,3,"credito_nomina, cuenta_debito, seguro_vida",3,6000.0,21084.67,0.2668,56,314397.42,5614.239642857143,0.0,2,9,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,gobierno,app_android,compra
USR-00016,53,H,Otros,Durango,Licenciatura,Empleado,18000,1074,True,True,App,749,4,app_android,10.0,True,False,es_MX,False,4,False,4,"credito_nomina, cuenta_debito, inversion_hey, tarjeta_credito_hey",4,93000.0,94724.99,0.4982,43,177872.87,4136.578372093023,143.63,2,10,"app_android, app_huawei, app_ios, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,servicios_digitales,app_android,compra
USR-00017,48,H,Nuevo León,García,Preparatoria,Independiente,25000,181,False,False,App,662,14,app_android,7.0,False,False,es_MX,True,3,True,3,"cuenta_debito, inversion_hey, tarjeta_credito_hey",3,25000.0,299734.68,0.3449,64,650687.65,10166.99453125,0.0,6,11,"app_android, app_huawei, app_ios, cajero_externo, codi, pos_fisico",cuenta_debito,viajes,app_ios,compra
USR-00018,25,M,Ciudad de México,CDMX - Tlalpan,Licenciatura,Empleado,22000,1491,True,True,App,720,4,app_android,7.0,False,True,es_MX,False,3,False,3,"credito_nomina, cuenta_debito, tarjeta_credito_hey",3,68000.0,33037.3,0.30665,56,182346.3,3256.183928571428,194.42,2,10,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,supermercado,app_ios,compra
USR-00019,26,H,Puebla,Atlixco,Posgrado,Empleado,15500,917,False,True,App,376,111,app_android,6.0,False,False,es_MX,False,0,False,1,cuenta_debito,0,0.0,60085.52,,11,57988.840000000004,5271.7127272727275,0.0,0,5,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, oxxo",cuenta_debito,gobierno,app_android,compra
USR-00020,36,H,Querétaro,Querétaro,Licenciatura,Independiente,36500,1694,True,False,App,821,3,app_ios,7.0,False,True,es_MX,False,3,False,4,"cuenta_debito, inversion_hey, seguro_compras, tarjeta_credito_hey",3,47000.0,369282.98,0.0563,81,1062495.45,13117.227777777778,1712.71,9,11,"app_android, app_huawei, app_ios, codi, oxxo, pos_fisico",cuenta_debito,supermercado,app_android,compra
USR-00021,42,M,Otros,La Paz,Secundaria,Empleado,20000,60,True,True,App,611,4,app_ios,7.0,False,False,es_MX,False,1,False,1,cuenta_debito,1,0.0,84738.3,,31,130170.1,4199.035483870968,69.32,2,8,"app_android, app_huawei, app_ios, cajero_banregio, oxxo, pos_fisico",cuenta_debito,supermercado,app_ios,compra
USR-00022,54,H,Jalisco,Zapopan,Posgrado,Empresario,36000,134,True,False,App,803,10,app_ios,8.0,False,False,es_MX,False,0,False,2,"cuenta_debito, cuenta_negocios",0,0.0,154088.26,,96,752000.55,7833.3390625,1730.88,3,9,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,gobierno,app_android,transf_entrada
USR-00023,34,M,Ciudad de México,CDMX - Coyoacán,Licenciatura,Empleado,12500,1475,False,True,Fan Shop,570,17,app_ios,6.0,False,False,es_MX,False,3,False,3,"credito_nomina, cuenta_debito, inversion_hey",3,7000.0,34566.3,0.5386,50,252210.07,5044.2014,0.0,3,10,"app_android, app_huawei, app_ios, cajero_banregio, codi, pos_fisico",cuenta_debito,supermercado,app_ios,compra
USR-00024,32,M,Guanajuato,Celaya,Preparatoria,Empleado,51000,656,True,False,Fan Shop,656,11,app_ios,9.0,False,False,es_MX,True,5,False,5,"credito_auto, cuenta_debito, inversion_hey, seguro_vida, tarjeta_credito_hey",5,211000.0,460419.62,0.08915000000000001,45,713153.09,15847.846444444443,212.41,0,11,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, pos_fisico",cuenta_debito,viajes,app_ios,compra
USR-00025,44,H,Otros,Villahermosa,Licenciatura,Empleado,14000,229,False,True,App,533,12,app_android,8.0,False,False,es_MX,True,3,False,3,"credito_nomina, cuenta_debito, seguro_vida",3,35000.0,59480.57,0.4477,65,399534.1,6146.678461538461,0.0,4,9,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, pos_fisico",cuenta_debito,gobierno,app_ios,compra
USR-00026,26,M,Guanajuato,León,Preparatoria,Empleado,22500,212,True,False,App,770,3,app_android,8.0,False,False,es_MX,False,2,True,2,"cuenta_debito, tarjeta_credito_hey",2,73000.0,65772.01,0.5539,82,277348.79,3382.3023170731703,164.2,5,8,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,restaurante,app_android,compra
USR-00027,18,H,Tamaulipas,Reynosa,Preparatoria,Estudiante,23000,1773,False,False,App,769,3,app_ios,7.0,False,True,es_MX,False,1,False,1,cuenta_debito,1,0.0,12352.96,,63,177715.06,2820.873968253968,0.0,4,7,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, oxxo, pos_fisico",cuenta_debito,restaurante,pos_fisico,compra
USR-00028,31,H,Oaxaca,Tuxtepec,Posgrado,Empresario,28000,757,True,False,Fan Shop,564,0,app_android,,False,False,es_MX,False,2,False,2,"cuenta_debito, tarjeta_credito_hey",2,135000.0,114459.97,0.6673,66,214380.98,3248.1966666666667,125.96,6,8,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,servicios_digitales,app_ios,compra
USR-00029,54,H,,,Licenciatura,Independiente,85000,332,False,False,App,584,11,app_android,10.0,False,False,es_MX,False,4,False,4,"credito_personal, cuenta_debito, cuenta_negocios, tarjeta_credito_negocios",4,426000.0,306847.77,0.3264,53,441772.83,8335.33641509434,0.0,5,7,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,servicios_digitales,app_ios,compra
USR-00030,27,SE,Ciudad de México,CDMX - Cuauhtémoc,Licenciatura,Empresario,17500,1205,True,False,App,622,1,app_ios,8.0,False,True,es_MX,False,2,False,3,"cuenta_debito, seguro_compras, tarjeta_credito_hey",2,49000.0,36157.47,0.667,71,133074.33,1874.2863380281688,135.83,2,8,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, pos_fisico",cuenta_debito,servicios_digitales,app_ios,compra
USR-00031,37,M,Ciudad de México,CDMX - Miguel Hidalgo,Posgrado,Empleado,24000,1069,False,False,App,329,15,app_ios,5.0,True,True,es_MX,False,1,False,2,"credito_personal, cuenta_debito",1,38000.0,50492.38,0.9627,50,228548.8,4570.976,0.0,2,8,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,supermercado,app_ios,compra
USR-00032,33,M,Ciudad de México,CDMX - Miguel Hidalgo,Licenciatura,Empleado,21500,1052,False,False,Fan Shop,833,5,app_ios,10.0,False,False,es_MX,True,3,False,3,"cuenta_debito, inversion_hey, tarjeta_credito_hey",3,114000.0,319476.33999999997,0.084,83,697595.68,8404.767228915664,0.0,4,12,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,supermercado,app_ios,compra
USR-00033,25,M,Tamaulipas,Reynosa,Preparatoria,Empresario,15500,1310,False,False,App,422,13,app_ios,5.0,False,False,es_MX,False,2,False,2,"cuenta_debito, tarjeta_credito_hey",2,86000.0,153606.15,0.8027,39,186340.94,4777.97282051282,0.0,1,9,"app_android, app_huawei, app_ios, farmacia_ahorro, oxxo, pos_fisico",cuenta_debito,restaurante,app_ios,compra
USR-00034,43,H,Otros,Cuernavaca,Preparatoria,Empleado,34000,1019,True,False,App,755,5,app_android,7.0,False,True,es_MX,True,2,False,3,"cuenta_debito, inversion_hey, seguro_compras",2,0.0,135345.67,,84,939448.44,11183.91,539.17,8,11,"app_android, app_huawei, app_ios, cajero_banregio, codi, pos_fisico",cuenta_debito,salud,app_ios,compra
USR-00035,32,M,Otros,Durango,Preparatoria,Empleado,15000,165,True,False,App,752,1,app_huawei,10.0,False,True,es_MX,False,3,False,3,"cuenta_debito, inversion_hey, tarjeta_credito_hey",3,72000.0,203052.37,0.1575,74,674101.47,9109.479324324324,385.92,4,10,"app_android, app_huawei, app_ios, cajero_banregio, codi, pos_fisico",cuenta_debito,supermercado,app_ios,compra
USR-00036,31,M,Veracruz,Coatzacoalcos,Preparatoria,Empleado,13500,820,False,True,App,690,8,app_ios,,False,False,es_MX,False,4,False,4,"credito_nomina, cuenta_debito, seguro_vida, tarjeta_credito_hey",4,206000.0,83668.93,0.40625,32,102827.48999999999,3213.3590624999997,0.0,1,8,"app_android, app_huawei, app_ios, cajero_banregio, pos_fisico",cuenta_debito,gobierno,app_ios,compra
USR-00037,28,H,Coahuila,Saltillo,Posgrado,Empleado,15000,1370,False,False,App,760,1,app_android,10.0,False,False,es_MX,False,1,False,2,"cuenta_debito, tarjeta_credito_hey",1,15000.0,60093.35,0.2441,61,178438.45,2925.220491803279,0.0,4,8,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, pos_fisico",cuenta_debito,servicios_digitales,app_android,compra
USR-00038,47,H,,,Licenciatura,Empleado,34500,1229,True,True,App,755,4,app_ios,9.0,False,False,es_MX,False,3,False,3,"credito_nomina, cuenta_debito, inversion_hey",3,66000.0,80710.62,0.4311,59,357086.43,6052.312372881356,160.18,2,10,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, pos_fisico",cuenta_debito,gobierno,app_ios,compra
USR-00039,55,M,Sinaloa,Los Mochis,Licenciatura,Independiente,27500,313,False,False,App,626,90,app_huawei,6.0,False,False,es_MX,False,0,False,1,cuenta_debito,0,0.0,42608.01,,10,53995.08,5399.508,0.0,0,3,"app_android, app_huawei, app_ios, cajero_banregio, pos_fisico",cuenta_debito,gobierno,app_huawei,retiro_cajero
USR-00040,59,M,Nuevo León,García,Preparatoria,Empleado,33000,876,False,False,App,703,6,app_ios,10.0,False,False,es_MX,False,2,False,3,"cuenta_debito, inversion_hey, tarjeta_credito_hey",2,32000.0,72156.44,0.0874,58,736593.67,12699.890862068965,0.0,2,10,"app_android, app_huawei, app_ios, pos_fisico",cuenta_debito,supermercado,app_ios,compra
USR-00041,50,M,Ciudad de México,CDMX - Benito Juárez,Licenciatura,Empleado,19000,843,True,True,App,615,11,app_android,8.0,False,False,es_MX,False,2,False,2,"cuenta_debito, tarjeta_credito_hey",2,108000.0,38872.509999999995,0.2226,39,227760.75,5840.0192307692305,134.57,0,9,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,ropa_accesorios,app_ios,compra
USR-00042,34,M,Veracruz,Córdoba,Preparatoria,Empleado,18000,1625,False,True,App,412,15,app_ios,3.0,False,False,es_MX,False,2,False,2,"credito_personal, cuenta_debito",2,44000.0,113532.17000000001,0.7309,62,255448.69,4120.140161290323,0.0,4,7,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,restaurante,app_ios,compra
USR-00043,33,H,Baja California,Ensenada,Licenciatura,Empresario,89000,1221,True,False,App,696,11,app_android,10.0,False,False,es_MX,True,3,False,3,"cuenta_debito, cuenta_negocios, tarjeta_credito_negocios",3,242000.0,132458.43,0.3435,86,708828.83,8242.195697674419,1376.0,2,7,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,gobierno,app_ios,compra
USR-00044,25,H,Nuevo León,García,Secundaria,Independiente,28000,1589,True,False,App,692,3,app_android,7.0,False,True,es_MX,True,2,False,2,"cuenta_debito, tarjeta_credito_hey",2,57000.0,75298.0,0.5491,80,210557.29,2631.966125,129.18,7,8,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,servicios_digitales,app_ios,compra
USR-00045,52,M,Estado de México,Ecatepec,Licenciatura,Empleado,12500,482,False,True,App,715,138,app_huawei,4.0,False,False,es_MX,False,1,False,1,cuenta_debito,1,0.0,34834.98,,10,15907.14,1590.714,0.0,1,4,"app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,gobierno,app_ios,compra
USR-00046,32,H,Baja California,Ensenada,Preparatoria,Empleado,19500,1669,True,False,App,642,0,app_ios,9.0,False,False,en_US,False,3,False,3,"cuenta_debito, seguro_compras, tarjeta_credito_hey",3,144000.0,64820.880000000005,0.2156,69,207011.85,3000.171739130435,121.92,1,7,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, oxxo, pos_fisico",cuenta_debito,restaurante,app_android,compra
USR-00047,39,H,Ciudad de México,CDMX - Benito Juárez,Licenciatura,Empleado,19500,1142,False,True,App,675,14,app_ios,10.0,False,False,en_US,False,4,False,4,"credito_nomina, cuenta_debito, seguro_vida, tarjeta_credito_hey",4,121000.0,82845.91,0.2712,50,251272.82,5025.4564,0.0,3,9,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,gobierno,app_ios,compra
USR-00048,45,H,Ciudad de México,CDMX - Benito Juárez,Licenciatura,Independiente,55000,1049,False,False,Fan Shop,694,5,app_huawei,7.0,False,False,es_MX,True,4,False,4,"credito_auto, cuenta_debito, inversion_hey, tarjeta_credito_hey",4,400000.0,612278.63,0.21175,40,602109.0,15052.725,0.0,3,10,"app_android, app_huawei, app_ios, cajero_externo, codi, pos_fisico",cuenta_debito,ropa_accesorios,app_android,compra
USR-00049,24,M,Ciudad de México,CDMX - Tlalpan,Posgrado,Empleado,12000,1444,True,False,App,452,3,app_android,9.0,False,False,es_MX,False,1,False,1,cuenta_debito,1,0.0,18848.48,,89,235669.99,2647.977415730337,164.66,6,7,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,servicios_digitales,app_android,compra
USR-00050,53,M,Ciudad de México,CDMX - Coyoacán,Posgrado,Independiente,83000,1447,True,False,Fan Shop,762,9,app_android,7.0,False,True,es_MX,False,4,False,4,"credito_auto, cuenta_debito, cuenta_negocios, tarjeta_credito_negocios",4,339000.0,191511.83,0.2797,83,723013.06,8711.000722891567,1178.0,7,9,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,gobierno,app_ios,compra
USR-00051,40,M,Ciudad de México,CDMX - Tlalpan,Licenciatura,Empresario,20000,1007,True,False,App,617,10,app_android,,True,False,es_MX,True,2,False,3,"cuenta_debito, cuenta_negocios, tarjeta_credito_negocios",2,300000.0,244610.15,0.3597,48,357731.94,7452.74875,1126.89,2,9,"app_android, app_huawei, app_ios, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,gobierno,app_ios,compra
USR-00052,56,M,Ciudad de México,CDMX - Coyoacán,Licenciatura,Estudiante,34000,1008,False,False,App,629,157,app_ios,,True,False,es_MX,False,1,False,2,"cuenta_debito, tarjeta_credito_garantizada",1,15000.0,52833.68,0.2089,14,88411.57,6315.112142857143,0.0,0,3,"app_android, app_huawei, app_ios, cajero_externo, oxxo, pos_fisico",cuenta_debito,salud,app_ios,compra
USR-00053,57,H,Sinaloa,Culiacán,Preparatoria,Empleado,9500,1109,True,False,App,576,166,app_huawei,7.0,False,False,es_MX,False,0,True,2,"cuenta_debito, tarjeta_credito_garantizada",0,17000.0,20564.010000000002,0.2888,11,46542.53,4231.139090909091,7.3100000000000005,1,5,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, oxxo",cuenta_debito,gobierno,app_ios,compra
USR-00054,37,H,Jalisco,Puerto Vallarta,Licenciatura,Empleado,23000,1154,False,True,App,665,4,app_huawei,6.0,False,False,es_MX,False,3,False,3,"credito_nomina, cuenta_debito, tarjeta_credito_hey",3,87000.0,52384.85,0.30569999999999997,36,219423.62,6095.100555555556,0.0,3,9,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,gobierno,app_android,compra
USR-00055,37,M,Chihuahua,Chihuahua,Licenciatura,Empleado,49500,258,True,False,App,850,2,app_ios,,False,True,es_MX,True,4,False,4,"cuenta_debito, inversion_hey, seguro_vida, tarjeta_credito_hey",4,52000.0,293481.43000000005,0.2615,70,683007.45,9757.249285714284,284.97,3,11,"app_android, app_huawei, app_ios, cajero_banregio, codi, pos_fisico",cuenta_debito,gobierno,app_android,compra
USR-00056,30,M,Jalisco,San Pedro Tlaquepaque,Licenciatura,Independiente,17500,457,True,False,Fan Shop,693,3,app_android,9.0,False,False,es_MX,True,2,False,2,"cuenta_debito, tarjeta_credito_hey",2,97000.0,30754.670000000002,0.2677,84,230100.82,2739.295476190476,133.64,7,8,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,servicios_digitales,app_ios,compra
USR-00057,56,H,,,Licenciatura,Empleado,29000,1012,False,False,Fan Shop,599,5,app_huawei,9.0,False,False,es_MX,False,4,True,4,"credito_auto, cuenta_debito, inversion_hey, tarjeta_credito_hey",4,300000.0,595992.28,0.25605,40,586986.74,14674.6685,0.0,1,9,"app_android, app_huawei, app_ios, pos_fisico",cuenta_debito,restaurante,app_ios,compra
USR-00058,40,M,Ciudad de México,CDMX - Miguel Hidalgo,Posgrado,Empleado,20500,1475,False,False,App,450,4,app_android,7.0,False,False,es_MX,False,2,False,3,"credito_personal, cuenta_debito, tarjeta_credito_hey",2,174000.0,185532.52000000002,0.8782000000000001,40,102358.95,2558.97375,0.0,3,8,"app_android, app_huawei, app_ios, cajero_banregio, farmacia_ahorro, oxxo, pos_fisico",cuenta_debito,restaurante,app_ios,compra
USR-00059,22,H,Tamaulipas,Ciudad Victoria,Licenciatura,Independiente,32500,180,False,False,App,507,80,app_ios,5.0,False,False,es_MX,False,0,False,1,cuenta_debito,0,0.0,54927.15,,9,33707.38,3745.264444444444,0.0,1,4,"app_android, app_huawei, cajero_banregio, cajero_externo, pos_fisico",cuenta_debito,supermercado,app_android,compra
USR-00060,41,H,Tamaulipas,Tampico,Preparatoria,Empresario,66000,1759,True,False,App,530,10,app_android,7.0,False,False,es_MX,False,3,False,3,"credito_personal, cuenta_debito, tarjeta_credito_negocios",3,140000.0,64006.65,0.2015,81,638653.5,7884.611111111111,1313.49,5,7,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, oxxo, pos_fisico",cuenta_debito,gobierno,app_ios,transf_entrada
USR-00061,30,M,Estado de México,Toluca,Licenciatura,Independiente,49000,384,False,False,App,761,13,app_ios,9.0,False,False,es_MX,False,1,True,2,"cuenta_debito, cuenta_negocios",1,0.0,94055.69,,74,640750.29,8658.787702702703,0.0,3,9,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,hogar,app_android,compra
USR-00062,25,H,Baja California,Tijuana,Preparatoria,Empleado,10000,205,False,False,Fan Shop,520,10,app_huawei,4.0,False,False,es_MX,True,3,False,3,"credito_personal, cuenta_debito, tarjeta_credito_hey",3,199000.0,224174.78999999998,0.8064,58,241817.99,4169.275689655172,0.0,2,8,"app_android, app_huawei, app_ios, cajero_externo, codi, farmacia_ahorro, oxxo, pos_fisico",cuenta_debito,gobierno,app_ios,compra
USR-00063,35,H,Ciudad de México,CDMX - Cuauhtémoc,Licenciatura,Independiente,57500,277,True,False,App,686,1,app_ios,7.0,False,True,es_MX,False,4,False,4,"cuenta_debito, inversion_hey, seguro_vida, tarjeta_credito_hey",4,131000.0,215726.56,0.0869,83,641908.71,7733.839879518072,386.51,4,11,"app_android, app_huawei, app_ios, codi, oxxo, pos_fisico",cuenta_debito,supermercado,app_ios,compra
USR-00064,29,M,Jalisco,Tlaquepaque,Licenciatura,Empleado,14000,1466,False,False,App,345,10,app_ios,7.0,False,False,es_MX,False,1,True,3,"credito_personal, cuenta_debito, tarjeta_credito_garantizada",1,95000.0,114939.75,0.85335,34,125137.56,3680.5164705882353,0.0,1,9,"app_android, app_huawei, app_ios, cajero_externo, codi, farmacia_ahorro, oxxo, pos_fisico",cuenta_debito,servicios_digitales,app_ios,compra
USR-00065,18,M,Jalisco,Tlaquepaque,Preparatoria,Estudiante,9000,584,True,False,App,639,0,app_ios,9.0,False,False,es_MX,False,2,False,2,"cuenta_debito, tarjeta_credito_hey",2,84000.0,81653.12,0.5506,65,224846.62,3459.1787692307694,145.77,6,8,"app_android, app_huawei, app_ios, cajero_banregio, codi, oxxo, pos_fisico",cuenta_debito,restaurante,app_android,compra
USR-00066,34,H,,,Secundaria,Empleado,17000,429,False,True,App,744,16,app_android,,False,False,es_MX,False,3,False,3,"credito_nomina, cuenta_debito, seguro_vida",3,32000.0,51697.630000000005,0.5272,51,342737.61,6720.3452941176465,0.0,3,10,"app_android, app_huawei, app_ios, cajero_banregio, cajero_externo, codi, pos_fisico",cuenta_debito,gobierno,app_huawei,compra
